* Measurement data measured by REW V5.31.3
* Source: /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2025 11:45:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv Format: Comma/Tab/Space delimited data 50 values loaded, 20 Hz to 19,776 Hz 
* Measurement: Automeris.io RS100-4 SPL
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.17 Hz
*
* Freq(Hz), SPL(dB)
273.170000, 86.302
273.420000, 86.303
273.670000, 86.304
273.920000, 86.305
274.170000, 86.306
274.420000, 86.307
274.670000, 86.308
274.920000, 86.309
275.170000, 86.310
275.420000, 86.311
275.670000, 86.312
275.920000, 86.313
276.170000, 86.314
276.420000, 86.315
276.670000, 86.316
276.920000, 86.317
277.170000, 86.318
277.420000, 86.319
277.670000, 86.320
277.920000, 86.321
278.170000, 86.322
278.420000, 86.323
278.670000, 86.324
278.920000, 86.325
279.170000, 86.326
279.420000, 86.327
279.670000, 86.328
279.920000, 86.329
280.170000, 86.330
280.420000, 86.331
280.670000, 86.332
280.920000, 86.333
281.170000, 86.334
281.420000, 86.335
281.670000, 86.335
281.920000, 86.336
282.170000, 86.337
282.420000, 86.338
282.670000, 86.339
282.920000, 86.340
283.170000, 86.341
283.420000, 86.342
283.670000, 86.343
283.920000, 86.344
284.170000, 86.344
284.420000, 86.345
284.670000, 86.346
284.920000, 86.347
285.170000, 86.348
285.420000, 86.349
285.670000, 86.350
285.920000, 86.350
286.170000, 86.351
286.420000, 86.352
286.670000, 86.353
286.920000, 86.354
287.170000, 86.355
287.420000, 86.355
287.670000, 86.356
287.920000, 86.357
288.170000, 86.358
288.420000, 86.359
288.670000, 86.360
288.920000, 86.360
289.170000, 86.361
289.420000, 86.362
289.670000, 86.363
289.920000, 86.364
290.170000, 86.364
290.420000, 86.365
290.670000, 86.366
290.920000, 86.367
291.170000, 86.367
291.420000, 86.368
291.670000, 86.369
291.920000, 86.370
292.170000, 86.370
292.420000, 86.371
292.670000, 86.372
292.920000, 86.373
293.170000, 86.373
293.420000, 86.374
293.670000, 86.375
293.920000, 86.376
294.170000, 86.376
294.420000, 86.377
294.670000, 86.378
294.920000, 86.378
295.170000, 86.379
295.420000, 86.380
295.670000, 86.381
295.920000, 86.381
296.170000, 86.382
296.420000, 86.383
